GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EventFinder,es.deusto.server.dao,TopicDAO,45,90,8,8,20,29,8,5,2,3
EventFinder,es.deusto.server.dao,DAOFactory,0,27,0,0,0,7,0,7,0,7
EventFinder,es.deusto.server.dao,UserDAO,15,120,6,10,9,40,6,7,0,5
EventFinder,es.deusto.server.dao,OrganizerDAO,19,116,6,10,11,38,7,6,1,4
EventFinder,es.deusto.server.dao,PostDAO,20,146,8,12,12,41,9,6,1,4
EventFinder,es.deusto.server.dao,EventDAO,153,183,25,17,50,53,21,8,3,5
EventFinder,es.deusto.server.server,Server,19,290,8,8,4,68,9,13,1,13
EventFinder,es.deusto.server.server,AppService.new Authenticator() {...},0,9,0,0,0,2,0,2,0,2
EventFinder,es.deusto.server.server,AppService,73,321,10,12,25,93,12,16,2,15
EventFinder,es.deusto.client.main,Main,15,0,0,0,4,0,2,0,2,0
EventFinder,es.deusto.serialization,PostInfo,0,76,0,0,0,29,0,12,0,12
EventFinder,es.deusto.serialization,SignupAttempt,9,133,1,1,2,40,1,16,0,16
EventFinder,es.deusto.serialization,EventInfo,20,89,3,1,4,30,2,12,0,12
EventFinder,es.deusto.serialization,LoginAttempt,17,45,0,0,1,19,1,8,1,8
EventFinder,es.deusto.serialization,UserInfo,0,150,0,4,0,44,0,16,0,14
EventFinder,es.deusto.serialization,OrganizerInfo,20,57,3,1,4,21,2,10,0,10
EventFinder,es.deusto.serialization,TopicInfo,20,16,0,0,8,7,3,3,3,3
EventFinder,es.deusto.serialization,GenericUserInfo,0,3,0,0,0,1,0,1,0,1
EventFinder,es.deusto.client.controller,Controller,446,467,36,14,96,84,33,10,8,10
EventFinder,es.deusto.server.data,Event,427,635,87,91,2,26,78,75,14,44
EventFinder,es.deusto.server.data,Post,444,575,94,84,0,29,80,72,13,44
EventFinder,es.deusto.server.data,GenericUser,454,416,93,66,1,10,75,60,18,33
EventFinder,es.deusto.server.data,Organizer,166,222,28,28,0,14,22,28,3,19
EventFinder,es.deusto.server.data,User,263,359,43,51,4,13,35,44,5,24
EventFinder,es.deusto.server.data,Topic,278,311,56,46,1,8,55,38,14,28
